iter	Passed	Remaining
0	103	103790
1	105	52867
2	107	35745
3	109	27275
4	112	22341
5	113	18871
6	115	16387
7	117	14527
8	118	13087
9	120	11927
10	122	10988
11	123	10199
12	125	9535
13	127	8962
14	128	8462
15	130	8023
16	132	7637
17	133	7299
18	135	6992
19	137	6714
20	138	6468
21	140	6240
22	142	6032
23	143	5848
24	145	5679
25	147	5523
26	149	5372
27	150	5233
28	152	5107
29	154	4987
30	155	4874
31	157	4768
32	159	4667
33	160	4569
34	162	4479
35	164	4397
36	165	4319
37	167	4246
38	169	4174
39	171	4105
40	172	4039
41	174	3979
42	175	3915
43	177	3852
44	178	3792
45	180	3734
46	181	3679
47	182	3627
48	184	3577
49	185	3528
50	187	3481
51	188	3436
52	189	3392
53	191	3350
54	192	3310
55	194	3270
56	195	3232
57	196	3195
58	198	3160
59	199	3125
60	200	3093
61	202	3061
62	203	3030
63	205	3000
64	206	2971
65	208	2943
66	209	2920
67	210	2885
68	211	2859
69	213	2834
70	214	2809
71	216	2785
72	217	2762
73	218	2739
74	220	2717
75	221	2694
76	223	2674
77	224	2652
78	225	2633
79	227	2613
80	228	2594
81	230	2575
82	231	2557
83	232	2538
84	233	2516
85	235	2500
86	236	2479
87	237	2462
88	239	2446
89	240	2430
90	241	2415
91	243	2399
92	244	2384
93	245	2370
94	247	2355
95	248	2341
96	250	2327
97	251	2314
98	252	2301
99	254	2288
100	255	2275
101	256	2257
102	257	2244
103	259	2232
104	260	2220
105	261	2209
106	263	2197
107	264	2186
108	266	2174
109	267	2163
110	269	2155
111	270	2144
112	271	2134
113	273	2123
114	274	2113
115	275	2102
116	277	2092
117	279	2086
118	280	2075
119	281	2066
120	283	2056
121	284	2050
122	286	2042
123	287	2034
124	289	2027
125	292	2029
126	294	2024
127	295	2014
128	297	2007
129	298	1999
130	300	1992
131	301	1985
132	303	1979
133	305	1973
134	306	1965
135	308	1957
136	309	1949
137	310	1940
138	312	1933
139	313	1925
140	314	1918
