iter	Passed	Remaining
0	153	153372
1	155	77374
2	156	51998
3	157	39319
4	159	31737
5	162	26915
6	164	23272
7	165	20531
8	166	18385
9	168	16669
10	169	15270
11	171	14099
12	172	13104
13	174	12256
14	175	11519
15	177	10907
16	178	10347
17	180	9852
18	183	9456
19	184	9056
20	186	8689
21	187	8356
22	189	8051
23	191	7770
24	193	7552
25	196	7364
26	198	7157
27	201	6978
28	207	6958
29	210	6799
30	213	6661
31	214	6498
32	216	6343
33	217	6193
34	219	6062
35	221	5929
36	223	5805
37	226	5735
38	228	5625
39	230	5522
40	231	5422
41	235	5361
42	237	5277
43	239	5210
44	241	5129
45	245	5095
46	247	5026
47	250	4958
48	257	4997
49	259	4938
50	261	4871
51	264	4819
52	267	4785
53	269	4723
54	271	4660
55	272	4597
56	274	4537
57	280	4551
58	282	4502
59	283	4448
60	285	4396
61	287	4354
62	290	4323
63	292	4275
64	294	4230
65	296	4201
66	305	4254
67	309	4238
68	311	4197
69	312	4155
70	314	4115
71	316	4075
72	318	4047
73	326	4084
74	329	4059
75	330	4022
76	332	3984
77	333	3946
78	335	3910
79	337	3875
80	338	3845
81	340	3814
82	341	3775
83	344	3753
84	346	3727
85	347	3696
86	349	3665
87	350	3635
88	354	3625
89	356	3600
90	357	3572
91	359	3544
92	360	3516
93	362	3489
94	373	3557
95	376	3542
96	377	3516
97	379	3491
98	380	3464
99	382	3440
100	383	3417
101	385	3395
102	387	3372
103	389	3355
104	391	3334
105	392	3312
106	396	3311
107	400	3303
108	403	3301
109	405	3283
110	407	3262
111	409	3244
112	415	3262
113	417	3242
114	418	3223
115	420	3204
116	421	3183
117	423	3166
118	425	3153
119	428	3142
120	430	3126
121	432	3114
122	436	3112
123	438	3096
124	439	3079
125	441	3062
126	442	3043
127	444	3025
128	445	3008
129	452	3025
130	459	3045
131	461	3037
132	463	3024
133	465	3009
134	467	2994
135	469	2979
136	470	2964
137	472	2949
138	473	2934
139	475	2920
140	478	2916
141	479	2899
142	481	2885
143	483	2872
144	485	2860
145	486	2848
146	488	2834
